Filter_obj_type_1,Filter_obj_type_2,Filter_obj_type_3,NoFilter_obj_type_1,NoFilter_obj_type_2,NoFilter_obj_type_3,E_laser,time
22.866056138832086,3.385751656074575,8.541928668265469e-07,12148.207169621635,101.87663002033403,1.1506876857222844e-05,6.7,11.141874835143486
439.47076126882547,16.867811679521168,5.385926974785231e-08,13355.714931953766,112.11090821780464,8.92650634746484e-06,6.8,11.270461503292124
806.0829639386405,20.828783637164378,7.194911829583981e-07,12325.262384371998,101.85848554849265,1.1177557000846843e-05,6.9,11.453040106780827
660.9431341296365,19.558814961922394,3.841791248507876e-08,16784.04343477694,127.28201067541937,5.199338427376901e-06,7.0,11.375116951701541
1616.36153418851,30.893864057590918,1.1690006062090522e-06,14116.60054342579,111.32480596327343,8.726706869125224e-06,7.1,11.461782032685976
561.4398685133823,17.134500270248253,2.9639315371539526e-07,12078.694202648869,102.9438537647966,1.0470323399552177e-05,7.2,11.507536156103015
1222.190319033723,30.969812804166992,7.94309045678927e-10,16530.44523348149,126.46842788681286,5.1642150419796794e-06,7.3,11.75121118426323
1072.735283887752,25.888823138563197,1.4774557569421294e-06,11136.36702076911,95.68304581197839,1.1759258161370144e-05,7.4,10.509836376955112
3316.8793004399517,45.92225712954453,1.3505097164520773e-06,14351.430133679227,111.86068564552701,8.14681498546897e-06,7.5,10.497577483765781
357.2561771420633,14.103600259602018,2.1308921263409756e-07,15104.138850745741,117.77668510152814,6.792550232396802e-06,7.6,10.940355183991294
2150.2511066096854,40.60627874382459,3.9903135789818514e-06,12297.419614962322,93.1256807080334,1.1833186851526649e-05,7.7,10.533381978794932
13607.651473362803,88.14611538839983,4.0891346557378525e-06,13737.971577588096,95.22547810416907,1.1250199618759379e-05,7.8,11.141747973238429
858.1682065069717,21.32890492220315,2.4320798154912663e-08,17128.23376034775,128.98229981841607,4.262205026298762e-06,7.9,11.164312646972636
1764.1162382927955,34.24633479717289,1.176998173668258e-07,14851.242164475547,118.0645856478557,6.395268814511434e-06,8.0,11.308003677614034
1592.4126581573203,27.379780527862636,2.4558021204327483e-09,13795.681390424763,113.92448608700131,7.1351604449742446e-06,8.1,11.439266976776223
247.12941690595113,14.151234329864593,1.0827020871547244e-06,17474.60163129586,126.13507714614968,4.6625383620498266e-06,8.2,11.483992823399603
373.39165195358703,17.40199572752337,1.9386973868530324e-09,17444.8453678652,129.60886484158718,3.935859135049549e-06,8.3,11.491603599116207
1488.2958707947625,31.384646099002254,4.497185729709322e-09,14505.609470003295,116.75686082998845,6.340141890193075e-06,8.4,11.50959301609546
653.1341844991327,20.03494388264218,4.2463068142658066e-07,13630.95674254906,110.66488866029812,7.413745846863161e-06,8.5,11.795588454542061
1770.587157424879,25.81218214082992,1.7096107962846063e-07,16981.1432269603,127.52817127407971,4.186163633808537e-06,8.6,10.595400599390269
5623.856713193366,56.406252570666396,6.164965945736904e-06,11561.121539070096,79.05866295350617,1.306340383212237e-05,8.7,10.613980069446066
163.5090776564949,9.737523813303056,4.9436695421524135e-09,16131.58797017209,124.25812606981522,4.686339228791901e-06,8.8,10.598010412355263
815.5117131310141,22.161956703585503,9.65962398692935e-07,13018.827065489837,106.38190216665208,7.8515057175833e-06,8.9,10.629685554653406
4504.426639927197,45.73748623597487,2.3518602159080603e-07,15680.954976175995,121.71279226745055,5.035282091307886e-06,9.0,11.152589673797289
2272.0383741930877,40.813150463796376,3.1106713706419015e-07,15175.012514171178,117.76929957864265,5.674199312941636e-06,9.1,11.185746657413741
7756.666189372213,68.79220313820443,1.7754406799382037e-07,16511.958924219914,125.58573876167542,4.251400268574138e-06,9.2,11.282637137174607
